commit_id,bug_num,project_size,project_watchers,committer_contributions,loc,num_of_changed_files
b7e092e821021b7c0dbd91eacfe369181bfa28b8,2,132584,54313,4485,4,1
fb0fccf3c7e1b1290ef64a1d2c388d788a5a965e,1,132584,54313,9170,259,4
e184298c50a0089336516933e5a6ce11a60df383,1,132584,54313,1337,89,2
c6c139d980a50a1b39e564d44a1df6d46f8ca11b,2,132584,54313,9920,63328,300
68a3fbd7a0453b815966db4353405a0b5e2303d3,2,132584,54313,4485,441,15
7857dd2d7230ab48c53e8648c23647e3b793b895,1,132584,54313,507,70,5
d5370e6852cb61e333369127a517474de2a7ec58,1,132584,54313,466,5,1
c2d1cb2c701f3c0dd06a6db298cd78e06d039c8f,1,132584,54313,31,17,2
a06de4d997103b377af349b392626cb2c18c31bf,2,132584,54313,9920,96,3
44dde9fc1247e3640dbefe952f3dd6746e579eac,2,132584,54313,4485,921,20
cb7ae2e60aa2b9aefcdb166ac36d85a11d675990,2,132584,54313,9920,189,6
c4122b8f8d77585c04be7c0edf7090340ffc8873,2,132584,54313,9920,254,7
fc9036a3d9398f7539569f6b436dd827413ff125,2,132584,54313,130,90,11
dcf61abe30026b67ec73ad8dace4058aef2cfcdb,1,132584,54313,507,97,2
d7251f52a44141d136b24fd90e06e46213a7e94d,4,132584,54313,4485,180,13
67556ba8eaf22a352b03fe197a0c452f695835a6,2,132584,54313,4485,6108,263
fd5c43cdc97a3b17234a139b566a96eabd282639,1,132584,54313,4485,6401,169
361437f4e26a751b38a01f1f6c58ab6d9b24cb71,2,132584,54313,9920,93,22
978f80122b9138f5606bd9e33597807b90129d61,1,132584,54313,9170,15,2
d52b599eee5193502e27a3f5805c18cba37ddbda,1,132584,54313,507,70,5
8c896d93761999ad0de655e10ecdc5caf7fe0759,1,132584,54313,4485,144,2
d0de4657d4fa7c0b181a2d6ef05402deee5b5785,1,132584,54313,4485,834,4
3273859fdeb432e6b2b9de617f7df4ee412f4788,1,132584,54313,4485,158,26
9a9111af2132ff50afe4aa0704be4bce19cf76fa,2,132584,54313,4485,761,22
d6b6a5f81f1f4790f45318522c856e9e78f23510,1,132584,54313,1337,632,16
e57b0e00f24a4e0d5ac3120f56aaa1991064b48f,2,132584,54313,9920,441,8
497457c397d9c45b127285c5cc3f2ba36aa5b890,1,132584,54313,4485,1680,28
717bd2c58099e3ff9b5de66bc8e6076436f3ef31,2,132584,54313,37,89,21
975e986fef1517b80eaf280edf24409ff79c5f8e,1,132584,54313,4485,173,6
138d66706a771339b2afe0809a5544c06c62f1f5,2,132584,54313,4485,249,8
a3f978793ec37319fee889f2727f5712416ff45e,2,132584,54313,4485,1225,9
3e4da3cc3761d0e28a22e8d370ce76d3132ca84b,1,132584,54313,4485,273,9
0925a0957e6643e97683e22bd9c741cf9c2bb08a,2,132584,54313,4485,3,1
5de46c3186b8eaad82636c59bfa071270ea686c9,1,132584,54313,4485,244,60
24d086066b8960ea3f98e2af73e3dcae10ae11c4,1,132584,54313,4485,3102,24
7d5e41f7dcb5a6edddfcd6742049342fb23c0000,1,132584,54313,4485,202,12
8f4bf233b4895a4fade5aff41e0a309f90ba3193,1,132584,54313,4485,1233,69
72862b565ce507c75efb978a5bbe235e5f2094bc,1,132584,54313,4485,107,2
a5ae81c1c195588d08d36b5a4c29a83d101e6f76,3,132584,54313,4485,4604,164
eb045f1da13083cf2cd6f4d45184c252969be76c,1,132584,54313,9170,54,3
f1c5fc41b443abe8321946a12d03ad7d7bf6aeea,1,132584,54313,9920,341,31
06a7ab0cd5f3036e7ece4edf7c80428874afc362,2,132584,54313,4485,254,5
8e3baf3130220a331d540cb07e1aca263b721b38,1,132584,54313,4485,711,54
d4f87ae74eb887fb0f3c87ebfeebf19cc025f73f,1,132584,54313,9170,122,24
bd83aca63f62f4ff089567272a85d565a7a0791d,1,132584,54313,4485,136,2
deaa6089b0019da0f4ada042da91c857c46d1551,2,132584,54313,9170,306,5
5e4238f38a4fd785c6a04dd11f23f49fdff2c286,2,132584,54313,4485,2650,35
1b17677e0b5bb326840c033825c236e3366562cb,2,132584,54313,4485,324,5
fa6a13859871b418d1e01fe3f8579b1bf8c5825e,2,132584,54313,4485,676,8
10dbf3c571258bcc788d4fd091aeb42b3c011da6,1,132584,54313,4485,166,12
642af52d0169577a98513c6489c74a47736c9d95,1,132584,54313,9170,549,10
b6b8bef009ae855be1cd6b57ac2a898c943d8a2d,1,132584,54313,4485,98,4
c4188c8e4a480cd65b080d2738fee099da01fc62,1,132584,54313,51,1415,16
77a1a3b3c08d8087c0e6ec8d921dac4bf55bf11f,1,132584,54313,670,98,2
c5cc626d48d7167095f37b3ba938bf9a6167a734,1,132584,54313,9170,2503,36
e07df7e4c6d69b5be6c56e76b854e1a3c7436e89,1,132584,54313,4485,650,210
582239b03bdf8f041f9e13bb2fa0628081e51860,1,132584,54313,4485,511,8
868589366e5428d6ba79ee26be5ef94602e5aa85,1,132584,54313,23,134,4
00d594dcda6edbd7086b888e60bd0aa6562ad2e7,2,132584,54313,9920,1183,27
0e00a49dcc246893fcaf1c7a0497fac6dcbc7454,2,132584,54313,9920,357,12
b488a3d9a3b6adb9991e889d02b3c7244d9a17e2,1,132584,54313,9920,98,3
296dc7132b8e444df0e6173740fa6bba5a5f1bd1,1,132584,54313,4485,666,13
53be0f8db7688d0cd6c5a743897b1cc7be293a89,2,132584,54313,9920,97,2
48db5457f1060786011c0a46abea8fa9a9e05307,1,132584,54313,4485,916,39
d01154c212791d22d91a6c883e4d7ffea9ba9d5b,2,132584,54313,9170,290,7
81d56355715a58b511257eb79a3059477652138e,1,132584,54313,4485,1668,20
eb3180d581ae372d073c18d6c3d34cc47a2139c8,1,132584,54313,9920,931,20
bbc91cc03f5df31c1985811d07abe4f9a906355e,1,132584,54313,4485,1743,33
2eafb3d88721e34490763d0c4ea14f17abebd736,1,132584,54313,4485,1752,22
bbbb34a6900b0df4751e0e9a2b18f5c0353d6702,2,132584,54313,9170,1101,15
b5679594826e7b609524bea1c4ac7806af62bd5a,1,132584,54313,4485,322,8
a95568d3e8ef96c3a37e1ca675facded0cb16b9c,2,132584,54313,9170,51,4
53f67a448f8ef7a47ca5c472c26e1c1a1ef19359,1,132584,54313,22,2858,32
87fe0b2adeef85c842c009bfeebac1c84af8a5d7,1,132584,54313,9920,962,27
1ce617f1ae649e5b045b6227d4761f98e2c3c240,2,132584,54313,4485,1161,163
cca0b76ac8b9485a73f0a573a6f9edb08523198c,1,132584,54313,4485,418,9
447edd2c4eafde6d478690394a78cc936e9ef37c,1,132584,54313,4485,68,3
d950d15f9b121ef1c0c4948543dc3d4836f66c4f,1,132584,54313,670,1230,21
c9fb9916b83133bd7e6dee9bdd7b27d175f495ab,2,132584,54313,4485,5487,300
36d4246289689cce081e3527930b9f4e40fb6d50,1,132584,54313,9920,163,9
06f3202c68a9440cf5370a237704fcd76f55ee86,1,132584,54313,4485,65,1
af33cc2b97bd4eb153bb55f1ded06cc82e707027,1,132584,54313,9170,114,6
3911ce3e2992251c211e962ddc7e57ec798c3268,1,132584,54313,127,64,1
b542aa3de638aa24a1610b388aaf5aab253decc3,1,132584,54313,9920,106,2
fd97c7553c8caef286ada0de8ac7490bec7286e8,1,132584,54313,4485,159,4
7ceb7ce6f6593b4da47205dab42cd3fd47573471,2,132584,54313,670,2,1
31d6a0f17a66e5342b9d2337cffdbcd3c6f2b6cd,2,132584,54313,4485,1038,60
b569918db1c33847ce1d1464d7d78f692f289e99,2,132584,54313,9170,235,7
891dd5a0f6c23d11fb876bcceda79690e7c8efa9,2,132584,54313,4485,266,25
12b876fbfa2de81f18dba9d3c6dbe530fc81782d,2,132584,54313,4485,274,8
884c058e573ff3bf3824aea414f56485d514d00d,1,132584,54313,9170,2553,32
9ebe15232e20e61edc91089dd0a88d3bcf5f7524,1,132584,54313,4485,823,24
151220f41d1108c9b84f98c6d8eddc710a0d5863,1,132584,54313,9170,1735,22
74e9e0749bcd54053a6a4afc534209060a3ae294,1,132584,54313,670,3260,74
5a69bb92677e7ccfa250a8a6edd951a8961c6137,2,132584,54313,9170,1230,23
6dcaec2fefeb45436d1830485796295f7e9ce815,1,132584,54313,9920,162,5
d4b75edfbf1c36def40e1b568a4342675337de65,1,132584,54313,4485,162,1
4cf9e0457f271aa2de6cdf2a6cc27a1bcb011e5b,1,132584,54313,9920,146,3
6a423d7ad1f06c976e2093ee595b04f61ba5e1de,1,132584,54313,4485,340,5
65e9d6a6e00c5b93778d6bb2a449d52ccfc6b122,1,132584,54313,9170,798,48
7681d0841ff48f404b891ec8958b90e91d217b2e,1,132584,54313,127,24,1
6ad626de491fe36df67d74ef17baf63d4125e10a,1,132584,54313,670,572,6
9fde0a3715d00c1a3fc968b856db036ca4a8845c,1,132584,54313,4485,1628,135
c347972729e3145359786fe2a6eb557f5f3ad2cf,1,132584,54313,9920,136,7
53078c320e3273bc5ac567dd6d4852962b9111aa,1,132584,54313,670,12135,49
437fb75424d1a2d852aec0a3cd16b55c3080cf30,1,132584,54313,670,44,4
0c2bc99af373ab9b03ab15b3bb58c57b0c3b56b7,1,132584,54313,127,283,6
5801e422cf6d011a405ca174cbe3b704637bb395,1,132584,54313,22,372,11
2dc296caa9bccb3bd64807b843e578b6cee18c3e,1,132584,54313,670,1109,16
929bd902be7b6625eb44dd7c4b6d7b2e1671c10a,1,132584,54313,21,59,3
8c347fc99be62e0f8ce6413d0e830f901bc1e97b,1,132584,54313,4485,5824,121
e60efc7e55933d22ac5d614fd59af64aacabdb5f,1,132584,54313,670,817,15
6b599b8483e2fad1b679d937bf8de6d4eb269462,1,132584,54313,127,1803,16
2752177fba54f88d17c69f2c588a59a238ca9c2b,1,132584,54313,4485,357,8
840fdeb50ffce95574a3f291dccae934c0e9119c,1,132584,54313,4485,605,9
628a8c79aa4ba4b9dbf049dde7ec91eea7533300,1,132584,54313,670,327,21
fb6b2244707dd5dfad12d62cb6a3c396555270d1,4,132584,54313,670,23494,294
10c333ea10b7b290eb9f2659ea7b3897d0b6a71a,2,132584,54313,670,57,5
8bfe07c7303119393a0ce0e3078d6bd74395f5bd,1,132584,54313,670,717,9
